




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST008114reported.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	GCST008114reported.txt (2)	GCST008114reported.txt (expected)	GCST008114reported.txt (over/under)	GCST008114reported.txt (fold Enrichment)	GCST008114reported.txt (raw P-value)	GCST008114reported.txt (FDR)
metanephric collecting duct development (GO:0072205)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac vascular smooth muscle cell differentiation (GO:2000722)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in metanephros development (GO:0072204)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of hippocampal neuron apoptotic process (GO:0110089)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation (GO:2000721)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in metanephros development (GO:0072203)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cell differentiation involved in metanephros development (GO:0072202)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesenchymal cell proliferation (GO:0072201)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of mesenchymal cell proliferation involved in ureter development (GO:0072200)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of activation of Janus kinase activity (GO:1902569)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of eosinophil activation (GO:1902568)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of eosinophil activation (GO:1902567)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic spindle organization (GO:0060236)	39	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of eosinophil activation (GO:1902566)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
lens induction in camera-type eye (GO:0060235)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of neutrophil activation (GO:1902565)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
neuroblast delamination (GO:0060234)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of neutrophil activation (GO:1902564)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil activation (GO:1902563)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
delamination (GO:0060232)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
mesenchymal to epithelial transition (GO:0060231)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of maintenance of mitotic sister chromatid cohesion, centromeric (GO:2000719)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of maintenance of mitotic sister chromatid cohesion, centromeric (GO:2000718)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle-mediated intercellular transport (GO:0110077)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of ferroptosis (GO:0110076)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ferroptosis (GO:0110075)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3'-phospho-5'-adenylyl sulfate transmembrane transport (GO:1902559)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
retinal rod cell differentiation (GO:0060221)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
polyphosphate catabolic process (GO:0006798)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
camera-type eye photoreceptor cell fate commitment (GO:0060220)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
polyphosphate metabolic process (GO:0006797)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	2151	0	.20	-	 < 0.01	1.00E00	1.00E00
phosphorus metabolic process (GO:0006793)	2178	0	.21	-	 < 0.01	1.00E00	1.00E00
sulfur compound metabolic process (GO:0006790)	366	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of dense core granule biogenesis (GO:2000707)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of dense core granule biogenesis (GO:2000706)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dense core granule biogenesis (GO:2000705)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation (GO:2000703)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation (GO:2000702)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
camera-type eye photoreceptor cell differentiation (GO:0060219)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell differentiation (GO:0060218)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902548)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
hemangioblast cell differentiation (GO:0060217)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
definitive hemopoiesis (GO:0060216)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of angiotensin-activated signaling pathway (GO:0110061)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA N-glycosylase activity (GO:1902546)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
primitive hemopoiesis (GO:0060215)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardium formation (GO:0060214)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA N-glycosylase activity (GO:1902544)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060212)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
bilirubin conjugation (GO:0006789)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
heme oxidation (GO:0006788)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound catabolic process (GO:0006787)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
heme a biosynthetic process (GO:0006784)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
heme biosynthetic process (GO:0006783)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX biosynthetic process (GO:0006782)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
succinyl-CoA pathway (GO:0006781)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uroporphyrinogen III biosynthetic process (GO:0006780)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood vessel endothelial cell differentiation (GO:0110059)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of blood vessel endothelial cell differentiation (GO:0110057)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament organization (GO:0110053)	263	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular signal transduction (GO:1902532)	501	0	.05	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound biosynthetic process (GO:0006779)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	39	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein linear polyubiquitination (GO:1902530)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
vitamin A metabolic process (GO:0006776)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
fat-soluble vitamin metabolic process (GO:0006775)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
thiamine metabolic process (GO:0006772)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
riboflavin metabolic process (GO:0006771)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to prostaglandin D stimulus (GO:0071799)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
response to prostaglandin D (GO:0071798)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein linear polyubiquitination (GO:1902528)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein monoubiquitination (GO:1902527)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein monoubiquitination (GO:1902525)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein K48-linked ubiquitination (GO:1902524)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein K63-linked ubiquitination (GO:1902523)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
biotin metabolic process (GO:0006768)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
water-soluble vitamin metabolic process (GO:0006767)	86	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin metabolic process (GO:0006766)	125	0	.01	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	28	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network maintenance (GO:0071788)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network formation (GO:0071787)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network organization (GO:0071786)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of organelle transport along microtubule (GO:1902513)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of apoptotic DNA fragmentation (GO:1902512)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of apoptotic DNA fragmentation (GO:1902511)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of apoptotic DNA fragmentation (GO:1902510)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP generation from ADP (GO:0006757)	44	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP phosphorylation (GO:0006756)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP biosynthetic process (GO:0006754)	35	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	451	0	.04	-	 < 0.01	1.00E00	1.00E00
glutathione catabolic process (GO:0006751)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class II protein complex assembly (GO:0002399)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione biosynthetic process (GO:0006750)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex assembly (GO:0002398)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC class I protein complex assembly (GO:0002397)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MHC protein complex assembly (GO:0002396)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
immune response in nasopharyngeal-associated lymphoid tissue (GO:0002395)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic spindle organization (GO:0110028)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA strand resection involved in replication fork processing (GO:0110026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA strand resection involved in replication fork processing (GO:0110025)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle myoblast proliferation (GO:0110024)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to fibroblast growth factor (GO:0071774)	117	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle myoblast proliferation (GO:0110022)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to BMP stimulus (GO:0071773)	106	0	.01	-	 < 0.01	1.00E00	1.00E00
response to BMP (GO:0071772)	106	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of actomyosin structure organization (GO:0110020)	92	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of signal transduction involved in mitotic G2 DNA damage checkpoint (GO:1902504)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione metabolic process (GO:0006749)	57	0	.01	-	 < 0.01	1.00E00	1.00E00
FAD biosynthetic process (GO:0006747)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process (GO:0006744)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone metabolic process (GO:0006743)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
NADP catabolic process (GO:0006742)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NADP biosynthetic process (GO:0006741)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NADPH regeneration (GO:0006740)	15	0	.00	-	 < 0.01	1.00E00	1.00E00
immune response in gut-associated lymphoid tissue (GO:0002387)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
immune response in mucosal-associated lymphoid tissue (GO:0002386)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mucosal immune response (GO:0002385)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
hepatic immune response (GO:0002384)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
immune response in brain or nervous system (GO:0002383)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin production involved in immunoglobulin mediated immune response (GO:0002381)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin secretion involved in immune response (GO:0002380)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cap-independent translational initiation of linear mRNA (GO:0110017)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane organization (GO:0071765)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear membrane organization (GO:0071763)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of basement membrane organization (GO:0110011)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
NADP metabolic process (GO:0006739)	30	0	.00	-	 < 0.01	1.00E00	1.00E00
nicotinamide riboside catabolic process (GO:0006738)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH regeneration (GO:0006735)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
NADH metabolic process (GO:0006734)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreduction coenzyme metabolic process (GO:0006733)	52	0	.00	-	 < 0.01	1.00E00	1.00E00
coenzyme metabolic process (GO:0006732)	247	0	.02	-	 < 0.01	1.00E00	1.00E00
immunoglobulin biosynthetic process involved in immune response (GO:0002379)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
one-carbon metabolic process (GO:0006730)	27	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin biosynthetic process (GO:0002378)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin production (GO:0002377)	155	0	.01	-	 < 0.01	1.00E00	1.00E00
immune system process (GO:0002376)	2806	0	.27	-	 < 0.01	1.00E00	1.00E00
cytokine secretion involved in immune response (GO:0002374)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
dendritic cell cytokine production (GO:0002371)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
formin-nucleated actin cable organization (GO:0110009)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ncRNA deadenylation (GO:0110008)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tetrahydrobiopterin biosynthetic process (GO:0006729)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
eye pigment biosynthetic process (GO:0006726)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
triterpenoid metabolic process (GO:0006722)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
terpenoid metabolic process (GO:0006721)	120	0	.01	-	 < 0.01	1.00E00	1.00E00
T cell cytokine production (GO:0002369)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
isoprenoid metabolic process (GO:0006720)	139	0	.01	-	 < 0.01	1.00E00	1.00E00
B cell cytokine production (GO:0002368)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytokine production involved in immune response (GO:0002367)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
leukocyte activation involved in immune response (GO:0002366)	619	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell lineage commitment (GO:0002363)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment (GO:0002362)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0002361)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
T cell lineage commitment (GO:0002360)	21	0	.00	-	 < 0.01	1.00E00	1.00E00
sesquiterpenoid metabolic process (GO:0006714)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
glucocorticoid catabolic process (GO:0006713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
estrogen catabolic process (GO:0006711)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
androgen catabolic process (GO:0006710)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell homeostatic proliferation (GO:0002358)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
defense response to tumor cell (GO:0002357)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of tumor cell (GO:0002355)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plasma kallikrein-kinin cascade (GO:0002353)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell negative selection (GO:0002352)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
serotonin production involved in inflammatory response (GO:0002351)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell maintenance (GO:0045494)	38	0	.00	-	 < 0.01	1.00E00	1.00E00
transcriptional activation by promoter-enhancer looping (GO:0071733)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to nitric oxide (GO:0071732)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
response to nitric oxide (GO:0071731)	19	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol catabolic process (GO:0006707)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell differentiation (GO:2001199)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid catabolic process (GO:0006706)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell differentiation (GO:2001198)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
mineralocorticoid biosynthetic process (GO:0006705)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
glucocorticoid biosynthetic process (GO:0006704)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
estrogen biosynthetic process (GO:0006703)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
androgen biosynthetic process (GO:0006702)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
progesterone biosynthetic process (GO:0006701)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of gamma-delta T cell activation involved in immune response (GO:2001193)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histamine production involved in inflammatory response (GO:0002349)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
C21-steroid hormone biosynthetic process (GO:0006700)	16	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gamma-delta T cell activation involved in immune response (GO:2001191)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to tumor cell (GO:0002347)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001190)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell affinity maturation (GO:0002344)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peripheral B cell selection (GO:0002343)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to triacyl bacterial lipopeptide (GO:0071727)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to diacyl bacterial lipopeptide (GO:0071726)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
response to triacyl bacterial lipopeptide (GO:0071725)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
response to diacyl bacterial lipopeptide (GO:0071724)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001189)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	8	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of CD8-positive, alpha-beta T cell activation (GO:2001186)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	17	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-12 secretion (GO:2001184)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-12 secretion (GO:2001183)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell selection (GO:0002339)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-12 secretion (GO:2001182)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-10 secretion (GO:2001181)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
B-1a B cell differentiation (GO:0002337)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-10 secretion (GO:2001180)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
B-1 B cell lineage commitment (GO:0002336)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mature B cell differentiation (GO:0002335)	24	0	.00	-	 < 0.01	1.00E00	1.00E00
transitional one stage B cell differentiation (GO:0002333)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transitional stage B cell differentiation (GO:0002332)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-B cell allelic exclusion (GO:0002331)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
locomotor rhythm (GO:0045475)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
sodium-independent icosanoid transport (GO:0071718)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to ether (GO:0045472)	13	0	.00	-	 < 0.01	1.00E00	1.00E00
leukotriene transport (GO:0071716)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
response to ethanol (GO:0045471)	139	0	.01	-	 < 0.01	1.00E00	1.00E00
icosanoid transport (GO:0071715)	33	0	.00	-	 < 0.01	1.00E00	1.00E00
ER-associated misfolded protein catabolic process (GO:0071712)	11	0	.00	-	 < 0.01	1.00E00	1.00E00
basement membrane organization (GO:0071711)	26	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-10 secretion (GO:2001179)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mediator complex assembly (GO:2001178)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mediator complex assembly (GO:2001176)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H2B conserved C-terminal lysine ubiquitination (GO:2001173)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-B cell differentiation (GO:0002329)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
pro-B cell differentiation (GO:0002328)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATP biosynthetic process (GO:2001171)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
immature B cell differentiation (GO:0002327)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of ATP biosynthetic process (GO:2001170)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell lineage commitment (GO:0002326)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
natural killer cell activation involved in immune response (GO:0002323)	23	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell proliferation involved in immune response (GO:0002322)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
lymphoid progenitor cell differentiation (GO:0002320)	12	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane assembly (GO:0071709)	35	0	.00	-	 < 0.01	1.00E00	1.00E00
immunoglobulin heavy chain V-D-J recombination (GO:0071707)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor superfamily cytokine production (GO:0071706)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrogen compound transport (GO:0071705)	1861	0	.18	-	 < 0.01	1.00E00	1.00E00
galactose catabolic process via UDP-galactose (GO:0033499)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
organic substance transport (GO:0071702)	2224	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of MAPK export from nucleus (GO:0071701)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ATP biosynthetic process (GO:2001169)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H2B ubiquitination (GO:2001168)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process via lathosterol (GO:0033490)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H2B ubiquitination (GO:2001166)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:2001165)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorylation of RNA polymerase II C-terminal domain serine 2 residues (GO:2001163)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone H3-K79 methylation (GO:2001162)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
myeloid progenitor cell differentiation (GO:0002318)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone H3-K79 methylation (GO:2001161)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plasma cell differentiation (GO:0002317)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K79 methylation (GO:2001160)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
follicular B cell differentiation (GO:0002316)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
marginal zone B cell differentiation (GO:0002315)	9	0	.00	-	 < 0.01	1.00E00	1.00E00
germinal center B cell differentiation (GO:0002314)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mature B cell differentiation involved in immune response (GO:0002313)	18	0	.00	-	 < 0.01	1.00E00	1.00E00
B cell activation involved in immune response (GO:0002312)	44	0	.00	-	 < 0.01	1.00E00	1.00E00
cell redox homeostasis (GO:0045454)	80	0	.01	-	 < 0.01	1.00E00	1.00E00
bone resorption (GO:0045453)	25	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process via desmosterol (GO:0033489)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process via 24,25-dihydrolanosterol (GO:0033488)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nitric oxide homeostasis (GO:0033484)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
gas homeostasis (GO:0033483)	10	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of renal water transport (GO:2001153)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
T cell proliferation involved in immune response (GO:0002309)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of renal water transport (GO:2001151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
