




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST005047mapped.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Homo sapiens - REFLIST (20996)	GCST005047mapped.txt (33)	GCST005047mapped.txt (expected)	GCST005047mapped.txt (over/under)	GCST005047mapped.txt (fold Enrichment)	GCST005047mapped.txt (raw P-value)	GCST005047mapped.txt (FDR)
triokinase activity (GO:0050354)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA binding (GO:1905502)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
trimethyllysine dioxygenase activity (GO:0050353)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
membrane insertase activity (GO:0032977)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylarsonite methyltransferase activity (GO:0030792)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
arsenite methyltransferase activity (GO:0030791)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-octaprenyltranstransferase activity (GO:0050347)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-L-3-hydroxyproline dehydratase activity (GO:0050346)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-dihydrouridine20 synthase activity (GO:0102264)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate decarboxylase activity (GO:0048040)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purine nucleotide-sugar transmembrane transporter activity (GO:0036080)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
thiosulfate-thiol sulfurtransferase activity (GO:0050337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquinone binding (GO:0048039)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
quinone binding (GO:0048038)	19	0	.03	-	 < 0.01	1.00E00	1.00E00
thiamin-triphosphatase activity (GO:0050333)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thiamine-diphosphate kinase activity (GO:0050331)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
PH domain binding (GO:0042731)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
disaccharide binding (GO:0048030)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
linear malto-oligosaccharide phosphorylase activity (GO:0102250)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
monosaccharide binding (GO:0048029)	73	0	.11	-	 < 0.01	1.00E00	1.00E00
tau-protein kinase activity (GO:0050321)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
CCR chemokine receptor binding (GO:0048020)	43	0	.07	-	 < 0.01	1.00E00	1.00E00
pyridine N-methyltransferase activity (GO:0030760)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
receptor antagonist activity (GO:0048019)	34	0	.05	-	 < 0.01	1.00E00	1.00E00
receptor ligand activity (GO:0048018)	490	0	.77	-	 < 0.01	1.00E00	1.00E00
sulfur dioxygenase activity (GO:0050313)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alkane 1-monooxygenase activity (GO:0018685)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
sterol sensor activity (GO:0032935)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
11-cis-retinal 3,4-desaturase activity (GO:0061899)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sterol binding (GO:0032934)	57	0	.09	-	 < 0.01	1.00E00	1.00E00
all-trans retinoic acid 3,4-desaturase activity (GO:0061898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
all-trans retinal 3,4-desaturase activity (GO:0061897)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
all-trans retinol 3,4-desaturase activity (GO:0061896)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-succinyllysine desuccinylase activity (GO:0036055)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-malonyllysine demalonylase activity (GO:0036054)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion sensor activity (GO:0061891)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
sugar-terminal-phosphatase activity (GO:0050309)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sugar-phosphatase activity (GO:0050308)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
orexin receptor activity (GO:0016499)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
substance K receptor activity (GO:0016497)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
substance P receptor activity (GO:0016496)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-X3-C chemokine receptor activity (GO:0016495)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-X-C chemokine receptor activity (GO:0016494)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
C-C chemokine receptor activity (GO:0016493)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
holo-[acyl-carrier-protein] synthase activity (GO:0008897)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled neurotensin receptor activity (GO:0016492)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amine N-methyltransferase activity (GO:0030748)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity (GO:0008894)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
guanine deaminase activity (GO:0008892)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolate oxidase activity (GO:0008891)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine C-acetyltransferase activity (GO:0008890)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acyl-CoA binding (GO:0036042)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
GTP-dependent protein binding (GO:0030742)	23	0	.04	-	 < 0.01	1.00E00	1.00E00
glycerophosphodiester phosphodiesterase activity (GO:0008889)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerate kinase activity (GO:0008887)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
carnosine N-methyltransferase activity (GO:0030735)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mediator complex binding (GO:0036033)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
guanidinoacetate N-methyltransferase activity (GO:0030731)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylphosphatidylethanolamine-hydrolysing phospholipase activity (GO:0102200)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetoacetate-CoA ligase activity (GO:0030729)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA clamp unloader activity (GO:0061860)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dihydroceramidase activity (GO:0071633)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrophosphatase activity (GO:0016462)	883	0	1.39	-	 < 0.01	4.02E-01	1.00E00
fructokinase activity (GO:0008865)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
phenanthrene 9,10-monooxygenase activity (GO:0018636)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
7-dehydrocholesterol reductase activity (GO:0047598)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
exoribonuclease II activity (GO:0008859)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C-palmitoyltransferase activity (GO:0016454)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
telomeric G-quadruplex DNA binding (GO:0061849)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
C-acetyltransferase activity (GO:0016453)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-glutamine N-methyltransferase activity (GO:0036009)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease III activity (GO:0008853)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
exodeoxyribonuclease I activity (GO:0008852)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
GAF domain binding (GO:0036004)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-mRNA binding (GO:0036002)	38	0	.06	-	 < 0.01	1.00E00	1.00E00
N,N-dimethylaniline monooxygenase activity (GO:0004499)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
calcidiol 1-monooxygenase activity (GO:0004498)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monooxygenase activity (GO:0004497)	104	0	.16	-	 < 0.01	1.00E00	1.00E00
mevalonate kinase activity (GO:0004496)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylmalonyl-CoA mutase activity (GO:0004494)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylmalonyl-CoA epimerase activity (GO:0004493)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysophospholipid acyltransferase activity (GO:0071617)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
methylmalonate-semialdehyde dehydrogenase (acylating) activity (GO:0004491)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylglutaconyl-CoA hydratase activity (GO:0004490)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
linoleic acid epoxygenase activity (GO:0071614)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endochitinase activity (GO:0008843)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate reductase (NAD(P)H) activity (GO:0004489)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase (NADP+) activity (GO:0004488)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase (NAD+) activity (GO:0004487)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity (GO:0004486)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase activity (GO:0004485)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA guanylyltransferase activity (GO:0004484)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (nucleoside-2'-O-)-methyltransferase activity (GO:0004483)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (guanine-N7-)-methyltransferase activity (GO:0004482)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine) methyltransferase activity (GO:0016436)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine) methyltransferase activity (GO:0016435)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine) methyltransferase activity (GO:0016434)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine) methyltransferase activity (GO:0016433)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N6-)-methyltransferase activity (GO:0016430)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dGTPase activity (GO:0008832)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
telomeric D-loop binding (GO:0061821)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
methionyl-tRNA formyltransferase activity (GO:0004479)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methionine adenosyltransferase activity (GO:0004478)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methenyltetrahydrofolate cyclohydrolase activity (GO:0004477)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mannose-6-phosphate isomerase activity (GO:0004476)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mannose-1-phosphate guanylyltransferase activity (GO:0004475)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate synthase activity (GO:0004474)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NADP+) activity (GO:0004473)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
malate dehydrogenase (decarboxylating) (NAD+) activity (GO:0004471)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
malic enzyme activity (GO:0004470)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine-N1-)-methyltransferase activity (GO:0016429)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine-5-)-methyltransferase activity (GO:0016428)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
4-nitrophenol 2-monooxygenase activity (GO:0018601)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (cytosine) methyltransferase activity (GO:0016427)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (adenine) methyltransferase activity (GO:0016426)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine) methyltransferase activity (GO:0016423)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
3-dehydrosphinganine reductase activity (GO:0047560)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity (GO:0016422)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CoA carboxylase activity (GO:0016421)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
malonyltransferase activity (GO:0016420)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
trimethylamine receptor activity (GO:1990081)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cupric reductase activity (GO:0008823)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cyclic ADP-ribose hydrolase (GO:0061812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
crossover junction endodeoxyribonuclease activity (GO:0008821)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ADP-ribosyl cyclase activity (GO:0061811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid-CoA ligase activity (GO:0004467)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
long-chain-acyl-CoA dehydrogenase activity (GO:0004466)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein lipase activity (GO:0004465)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
leukotriene-C4 synthase activity (GO:0004464)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
leukotriene-A4 hydrolase activity (GO:0004463)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactoylglutathione lyase activity (GO:0004462)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactose synthase activity (GO:0004461)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
S-malonyltransferase activity (GO:0016419)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-acetyltransferase activity (GO:0016418)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
S-acyltransferase activity (GO:0016417)	32	0	.05	-	 < 0.01	1.00E00	1.00E00
O-palmitoyltransferase activity (GO:0016416)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
octanoyltransferase activity (GO:0016415)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-octanoyltransferase activity (GO:0016414)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NAD+ nucleotidase, cyclic ADP-ribose generating (GO:0061809)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
O-acetyltransferase activity (GO:0016413)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cob(I)yrinic acid a,c-diamide adenosyltransferase activity (GO:0008817)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
serine O-acyltransferase activity (GO:0016412)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acylglycerol O-acyltransferase activity (GO:0016411)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acyltransferase activity (GO:0016410)	117	0	.18	-	 < 0.01	1.00E00	1.00E00
sulfate binding (GO:0043199)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
choline dehydrogenase activity (GO:0008812)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chloramphenicol O-acetyltransferase activity (GO:0008811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N6-isopentenyladenosine methylthiotransferase activity (GO:0035597)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-lactate dehydrogenase activity (GO:0004459)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
D-lactate dehydrogenase (cytochrome) activity (GO:0004458)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lactate dehydrogenase activity (GO:0004457)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside binding (GO:0035594)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ketohexokinase activity (GO:0004454)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
signaling adaptor activity (GO:0035591)	102	0	.16	-	 < 0.01	1.00E00	1.00E00
isopentenyl-diphosphate delta-isomerase activity (GO:0004452)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NADP+) activity (GO:0004450)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase activity (GO:0016409)	39	0	.06	-	 < 0.01	1.00E00	1.00E00
C-acyltransferase activity (GO:0016408)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transmembrane transporter activity (GO:0000099)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyltransferase activity (GO:0016407)	117	0	.18	-	 < 0.01	1.00E00	1.00E00
carnitine O-acyltransferase activity (GO:0016406)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
CoA-ligase activity (GO:0016405)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
15-hydroxyprostaglandin dehydrogenase (NAD+) activity (GO:0016404)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
S-adenosyl-L-methionine transmembrane transporter activity (GO:0000095)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cardiolipin synthase activity (GO:0008808)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dimethylargininase activity (GO:0016403)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pristanoyl-CoA oxidase activity (GO:0016402)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA oxidase activity (GO:0016401)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity (GO:0008803)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
betaine-aldehyde dehydrogenase activity (GO:0008802)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 3 binding (GO:0043185)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 2 binding (GO:0043184)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor 1 binding (GO:0043183)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase (NAD+) activity (GO:0004449)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
purinergic receptor activity (GO:0035586)	25	0	.04	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase activity (GO:0004448)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
iodide peroxidase activity (GO:0004447)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-hexakisphosphate phosphatase activity (GO:0004446)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol-polyphosphate 5-phosphatase activity (GO:0004445)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol-1,4-bisphosphate 1-phosphatase activity (GO:0004441)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2-aminoadipate transaminase activity (GO:0047536)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
C3HC4-type RING finger domain binding (GO:0055131)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 type II receptor antagonist activity (GO:0045353)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid transfer activity (GO:1990050)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1 type I receptor antagonist activity (GO:0045352)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol binding (GO:0043178)	87	0	.14	-	 < 0.01	1.00E00	1.00E00
amine binding (GO:0043176)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	46	0	.07	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphatase activity (GO:0004438)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
histone demethylase activity (H4-K20 specific) (GO:0035575)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol phospholipase C activity (GO:0004435)	26	0	.04	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol 4-kinase activity (GO:0004430)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
15-oxoprostaglandin 13-oxidase activity (GO:0047522)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mercury ion binding (GO:0045340)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inorganic diphosphatase activity (GO:0004427)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
iduronate-2-sulfatase activity (GO:0004423)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hypoxanthine phosphoribosyltransferase activity (GO:0004422)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA synthase activity (GO:0004421)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA reductase (NADPH) activity (GO:0004420)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-ornithine transmembrane transporter activity (GO:0000064)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA binding (GO:0000062)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
receptor-receptor interaction (GO:0090722)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxymethylglutaryl-CoA lyase activity (GO:0004419)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxymethylbilane synthase activity (GO:0004418)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hydroxyacylglutathione hydrolase activity (GO:0004416)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
hyalurononglucosaminidase activity (GO:0004415)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase regulator activity (GO:0055106)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
homogentisate 1,2-dioxygenase activity (GO:0004411)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-protein transferase inhibitor activity (GO:0055105)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ligase regulator activity (GO:0055103)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipase inhibitor activity (GO:0055102)	18	0	.03	-	 < 0.01	1.00E00	1.00E00
adiponectin binding (GO:0055100)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
unmethylated CpG binding (GO:0045322)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
holocytochrome-c synthase activity (GO:0004408)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (GO:0004407)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (GO:0004402)	65	0	.10	-	 < 0.01	1.00E00	1.00E00
tRNA binding (GO:0000049)	65	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidyltransferase activity (GO:0000048)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
5'-3' DNA helicase activity (GO:0043139)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-5' DNA helicase activity (GO:0043138)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol-3-phosphatase activity (GO:0043136)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity (GO:0035539)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
carbohydrate response element binding (GO:0035538)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin binding (GO:0043130)	78	0	.12	-	 < 0.01	1.00E00	1.00E00
phosphopantetheine binding (GO:0031177)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein phosphorylated amino acid binding (GO:0045309)	51	0	.08	-	 < 0.01	1.00E00	1.00E00
acyl carrier activity (GO:0000036)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl binding (GO:0000035)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-mannosyltransferase activity (GO:0000033)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase activity (GO:0000030)	29	0	.05	-	 < 0.01	1.00E00	1.00E00
ErbB-3 class receptor binding (GO:0043125)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH pyrophosphatase activity (GO:0035529)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotrophin binding (GO:0043121)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
tumor necrosis factor binding (GO:0043120)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-1,2-mannosyltransferase activity (GO:0000026)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
lactase activity (GO:0000016)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA endodeoxyribonuclease activity (GO:0000014)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
histone methyltransferase activity (H3-K79 specific) (GO:0031151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trans-hexaprenyltranstransferase activity (GO:0000010)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane targeting sequence binding (GO:0033328)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MH1 domain binding (GO:0035501)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
MH2 domain binding (GO:0035500)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
adenine phosphoribosyltransferase activity (GO:0003999)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acylphosphatase activity (GO:0003998)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl-CoA oxidase activity (GO:0003997)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA ligase activity (GO:0003996)	16	0	.03	-	 < 0.01	1.00E00	1.00E00
acyl-CoA dehydrogenase activity (GO:0003995)	11	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-1,6-mannosyltransferase activity (GO:0000009)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aconitate hydratase activity (GO:0003994)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acid phosphatase activity (GO:0003993)	10	0	.02	-	 < 0.01	1.00E00	1.00E00
acetylcholinesterase activity (GO:0003990)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA carboxylase activity (GO:0003989)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acyltransferase activity (GO:0003988)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
acetate-CoA ligase activity (GO:0003987)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA hydrolase activity (GO:0003986)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA C-acetyltransferase activity (GO:0003985)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP:glucose-1-phosphate uridylyltransferase activity (GO:0003983)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
UDP-glucose:glycoprotein glucosyltransferase activity (GO:0003980)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing compound transmembrane transporter activity (GO:0015932)	43	0	.07	-	 < 0.01	1.00E00	1.00E00
