




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	Reactome version 65 Released 2019-03-12
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
Reactome pathways	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Collagen formation (R-HSA-1474290)	89	0	.47	-	 < 0.01	1.00E00	1.00E00
Highly calcium permeable nicotinic acetylcholine receptors (R-HSA-629597)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors (R-HSA-629594)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
PIWI-interacting RNA (piRNA) biogenesis (R-HSA-5601884)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Notch-HLH transcription pathway (R-HSA-350054)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
ERBB2 Activates PTK6 Signaling (R-HSA-8847993)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Intraflagellar transport (R-HSA-5620924)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
Interleukin-36 pathway (R-HSA-9014826)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Signaling by Nuclear Receptors (R-HSA-9006931)	167	0	.87	-	 < 0.01	1.00E00	1.00E00
BBSome-mediated cargo-targeting to cilium (R-HSA-5620922)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Cargo trafficking to the periciliary membrane (R-HSA-5620920)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
TRAF6-mediated induction of TAK1 complex within TLR4 complex (R-HSA-937072)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Mitochondrial iron-sulfur cluster biogenesis (R-HSA-1362409)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
GAB1 signalosome (R-HSA-180292)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
RNF mutants show enhanced WNT signaling and proliferation (R-HSA-5340588)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Activation of C3 and C5 (R-HSA-174577)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
CLEC7A/inflammasome pathway (R-HSA-5660668)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective GALNT12 causes colorectal cancer 1 (CRCS1) (R-HSA-5083636)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective B3GALTL causes Peters-plus syndrome (PpS) (R-HSA-5083635)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
NOTCH2 Activation and Transmission of Signal to the Nucleus (R-HSA-2979096)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1 (R-HSA-5083633)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Proton/oligopeptide cotransporters (R-HSA-427975)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Highly sodium permeable acetylcholine nicotinic receptors (R-HSA-629587)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS) (R-HSA-5083632)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective LFNG causes SCDO3 (R-HSA-5083630)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
MyD88 cascade initiated on plasma membrane (R-HSA-975871)	84	0	.44	-	 < 0.01	1.00E00	1.00E00
PKB-mediated events (R-HSA-109703)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
MAP3K8 (TPL2)-dependent MAPK1/3 activation (R-HSA-5684264)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
p130Cas linkage to MAPK signaling for integrins (R-HSA-372708)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
VxPx cargo-targeting to cilium (R-HSA-5620916)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
Biosynthesis of DPAn-3 SPMs (R-HSA-9025094)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
TP53 Regulates Transcription of Cell Death Genes (R-HSA-5633008)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
Regulation of TP53 Activity (R-HSA-5633007)	159	0	.83	-	 < 0.01	1.00E00	1.00E00
Adherens junctions interactions (R-HSA-418990)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Defective ABCC8 can cause hypoglycemias and hyperglycemias (R-HSA-5683177)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants (R-HSA-2894862)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
Anchoring of the basal body to the plasma membrane (R-HSA-5620912)	96	0	.50	-	 < 0.01	1.00E00	1.00E00
Dopamine Neurotransmitter Release Cycle (R-HSA-212676)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
TRIF(TICAM1)-mediated TLR4 signaling  (R-HSA-937061)	97	0	.51	-	 < 0.01	1.00E00	1.00E00
Signaling by ERBB4 (R-HSA-1236394)	41	0	.21	-	 < 0.01	1.00E00	1.00E00
Defective CD320 causes methylmalonic aciduria (R-HSA-3359485)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Activation of DNA fragmentation factor (R-HSA-211227)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Na+/Cl- dependent neurotransmitter transporters (R-HSA-442660)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2 (R-HSA-5083629)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
WNT ligand secretion is abrogated by the PORCN inhibitor LGK974 (R-HSA-5340573)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3 (R-HSA-5083628)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Nuclear Pore Complex (NPC) Disassembly (R-HSA-3301854)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
Defective LARGE causes MDDGA6 and MDDGB6 (R-HSA-5083627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DSCAM interactions (R-HSA-376172)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC) (R-HSA-5083625)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE) (R-HSA-2142816)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Signaling by FGFR3 point mutants in cancer (R-HSA-8853338)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
via Death Receptors in the presence of ligand (R-HSA-140534)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Signaling by plasma membrane FGFR1 fusions (R-HSA-8853336)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Multifunctional anion exchangers (R-HSA-427601)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Signaling by FGFR3 fusions in cancer (R-HSA-8853334)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
TGFBR2 MSI Frameshift Mutants in Cancer (R-HSA-3642279)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Loss of Function of TGFBR2 in Cancer (R-HSA-3642278)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer (R-HSA-2894858)	57	0	.30	-	 < 0.01	1.00E00	1.00E00
Methionine salvage pathway (R-HSA-1237112)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
RUNX3 regulates YAP1-mediated transcription (R-HSA-8951671)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Inositol phosphate metabolism (R-HSA-1483249)	48	0	.25	-	 < 0.01	1.00E00	1.00E00
Synthesis of PIPs at the ER membrane (R-HSA-1483248)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA Capping (R-HSA-72086)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Terminal pathway of complement (R-HSA-166665)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
PRC2 methylates histones and DNA (R-HSA-212300)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Defective MUT causes methylmalonic aciduria mut type (R-HSA-3359478)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Initial triggering of complement (R-HSA-166663)	85	0	.45	-	 < 0.01	1.00E00	1.00E00
Lectin pathway of complement activation (R-HSA-166662)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Purine catabolism (R-HSA-74259)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants (R-HSA-1236382)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Defective MMAA causes methylmalonic aciduria type cblA (R-HSA-3359475)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC (R-HSA-3359474)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD (R-HSA-3359473)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective MMAB causes methylmalonic aciduria type cblB (R-HSA-3359471)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Acetylcholine Neurotransmitter Release Cycle (R-HSA-264642)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Binding and entry of HIV virion (R-HSA-173107)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Trafficking and processing of endosomal TLR (R-HSA-1679131)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
DAP12 interactions (R-HSA-2172127)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF) (R-HSA-5687868)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Relaxin receptors (R-HSA-444821)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins (R-HSA-159854)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Chylomicron remodeling (R-HSA-8963901)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Activated NTRK2 signals through PI3K (R-HSA-9028335)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Clearance of Nuclear Envelope Membranes from Chromatin (R-HSA-2993913)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Gap-filling DNA repair synthesis and ligation in TC-NER (R-HSA-6782210)	64	0	.34	-	 < 0.01	1.00E00	1.00E00
Glutathione conjugation (R-HSA-156590)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
HHAT G278V abrogates palmitoylation of Hh-Np (R-HSA-5658034)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
The canonical retinoid cycle in rods (twilight vision) (R-HSA-2453902)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2 (R-HSA-5678520)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TRP channels (R-HSA-3295583)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Complement cascade (R-HSA-166658)	120	0	.63	-	 < 0.01	1.00E00	1.00E00
Mitotic Spindle Checkpoint (R-HSA-69618)	108	0	.57	-	 < 0.01	1.00E00	1.00E00
IRAK2 mediated activation of TAK1 complex (R-HSA-937042)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
IKK complex recruitment mediated by RIP1 (R-HSA-937041)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Defective CHSY1 causes TPBS (R-HSA-3595177)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
RAB GEFs exchange GTP for GDP on RABs (R-HSA-8876198)	89	0	.47	-	 < 0.01	1.00E00	1.00E00
Defective MTR causes methylmalonic aciduria and homocystinuria type cblG (R-HSA-3359469)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE (R-HSA-3359467)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CHST14 causes EDS, musculocontractural type (R-HSA-3595174)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Synthesis and processing of ENV and VPU (R-HSA-171286)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Defective CHST3 causes SEDCJD (R-HSA-3595172)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Invadopodia formation (R-HSA-8941237)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective CUBN causes hereditary megaloblastic anemia 1 (R-HSA-3359463)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Homologous DNA Pairing and Strand Exchange (R-HSA-5693579)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Defective AMN causes hereditary megaloblastic anemia 1 (R-HSA-3359462)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Activation of E2F1 target genes at G1/S (R-HSA-539107)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
TWIK related potassium channel (TREK) (R-HSA-1299503)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
NOTCH4 Activation and Transmission of Signal to the Nucleus (R-HSA-9013700)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Formation of Fibrin Clot (Clotting Cascade) (R-HSA-140877)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits (R-HSA-997272)	25	0	.13	-	 < 0.01	1.00E00	1.00E00
Common Pathway of Fibrin Clot Formation (R-HSA-140875)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Glucuronidation (R-HSA-156588)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
Mitotic Telophase/Cytokinesis (R-HSA-68884)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Nonhomologous End-Joining (NHEJ) (R-HSA-5693571)	52	0	.27	-	 < 0.01	1.00E00	1.00E00
Amino Acid conjugation (R-HSA-156587)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Mitotic Metaphase/Anaphase Transition (R-HSA-68881)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
G0 and Early G1 (R-HSA-1538133)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
Cytosolic sulfonation of small molecules (R-HSA-156584)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Acetylation (R-HSA-156582)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Methylation (R-HSA-156581)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Phase II - Conjugation of compounds (R-HSA-156580)	108	0	.57	-	 < 0.01	1.00E00	1.00E00
IRAK1 recruits IKK complex (R-HSA-937039)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Synthesis of PI (R-HSA-1483226)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF (R-HSA-3359458)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMOylation of RNA binding proteins (R-HSA-4570464)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Defective GIF causes intrinsic factor deficiency (R-HSA-3359457)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA decay by 5' to 3' exoribonuclease (R-HSA-430039)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Vitamin B5 (pantothenate) metabolism (R-HSA-199220)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Defective TCN2 causes hereditary megaloblastic anemia (R-HSA-3359454)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Inhibition of adenylate cyclase pathway (R-HSA-997269)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Dopamine clearance from the synaptic cleft (R-HSA-379401)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Resolution of D-loop Structures through Holliday Junction Intermediates (R-HSA-5693568)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA) (R-HSA-5693567)	114	0	.60	-	 < 0.01	1.00E00	1.00E00
HuR (ELAVL1) binds and stabilizes mRNA (R-HSA-450520)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ALKBH3 mediated reversal of alkylation damage (R-HSA-112126)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks (R-HSA-5693565)	59	0	.31	-	 < 0.01	1.00E00	1.00E00
Mitotic Prometaphase (R-HSA-68877)	194	0	1.02	-	 < 0.01	6.30E-01	1.00E00
Mitotic Prophase (R-HSA-68875)	103	0	.54	-	 < 0.01	1.00E00	1.00E00
ALKBH2 mediated reversal of alkylation damage (R-HSA-112122)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of PE (R-HSA-1483213)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
Regulation of IFNA signaling (R-HSA-912694)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
Ras activation upon Ca2+ influx through NMDA receptor (R-HSA-442982)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA (R-HSA-450513)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
GLI proteins bind promoters of Hh responsive genes to promote transcription (R-HSA-5635851)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA) (R-HSA-5693554)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
RET signaling (R-HSA-8853659)	39	0	.20	-	 < 0.01	1.00E00	1.00E00
Glycogen storage disease type 0 (muscle GYS1) (R-HSA-3828062)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NTF3 activates NTRK2 (TRKB) signaling (R-HSA-9025046)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Molecules associated with elastic fibres (R-HSA-2129379)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
Inactivation, recovery and regulation of the phototransduction cascade (R-HSA-2514859)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
Degradation of the extracellular matrix (R-HSA-1474228)	140	0	.73	-	 < 0.01	1.00E00	1.00E00
Purine salvage (R-HSA-74217)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
The phototransduction cascade (R-HSA-2514856)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
Sensing of DNA Double Strand Breaks (R-HSA-5693548)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
NOSTRIN mediated eNOS trafficking (R-HSA-203641)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Cytochrome P450 - arranged by substrate type (R-HSA-211897)	65	0	.34	-	 < 0.01	1.00E00	1.00E00
Condensation of Prometaphase Chromosomes (R-HSA-2514853)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Glycine degradation (R-HSA-6783984)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Cytosolic sensors of pathogen-associated DNA  (R-HSA-1834949)	63	0	.33	-	 < 0.01	1.00E00	1.00E00
Signaling by NTRK3 (TRKC) (R-HSA-9034015)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
NTF3 activates NTRK3 signaling (R-HSA-9034013)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Sperm:Oocyte Membrane Binding (R-HSA-1300652)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
STING mediated induction of host immune responses (R-HSA-1834941)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha (R-HSA-1234162)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Glucagon signaling in metabolic regulation (R-HSA-163359)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
PKA-mediated phosphorylation of key metabolic factors (R-HSA-163358)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Beta-catenin phosphorylation cascade (R-HSA-196299)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
Negative feedback regulation of MAPK pathway (R-HSA-5674499)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Activation of SMO (R-HSA-5635838)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Homology Directed Repair (R-HSA-5693538)	120	0	.63	-	 < 0.01	1.00E00	1.00E00
Resolution of D-Loop Structures (R-HSA-5693537)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
Intrinsic Pathway of Fibrin Clot Formation (R-HSA-140837)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
Regulated Necrosis (R-HSA-5218859)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
DNA Double-Strand Break Repair (R-HSA-5693532)	148	0	.78	-	 < 0.01	1.00E00	1.00E00
Extrinsic Pathway of Fibrin Clot Formation (R-HSA-140834)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
Acrosome Reaction (R-HSA-1300645)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Interaction With The Zona Pellucida (R-HSA-1300644)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Regulation of gene expression by Hypoxia-inducible Factor (R-HSA-1234158)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Sperm Motility And Taxes (R-HSA-1300642)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Signaling by activated point mutants of FGFR3 (R-HSA-1839130)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Regulation of PTEN mRNA translation (R-HSA-8943723)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
T41 mutants of beta-catenin aren't phosphorylated (R-HSA-5358752)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Heme degradation (R-HSA-189483)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
S45 mutants of beta-catenin aren't phosphorylated (R-HSA-5358751)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
SLBP independent Processing of Histone Pre-mRNAs (R-HSA-111367)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Pre-NOTCH Expression and Processing (R-HSA-1912422)	78	0	.41	-	 < 0.01	1.00E00	1.00E00
Signaling by BMP (R-HSA-201451)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
Pre-NOTCH Processing in Golgi (R-HSA-1912420)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Signal regulatory protein family interactions (R-HSA-391160)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Mitochondrial tRNA aminoacylation (R-HSA-379726)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
tRNA Aminoacylation (R-HSA-379724)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
Termination of translesion DNA synthesis (R-HSA-5656169)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
S37 mutants of beta-catenin aren't phosphorylated (R-HSA-5358749)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Defective GALT can cause Galactosemia (R-HSA-5609978)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
S33 mutants of beta-catenin aren't phosphorylated (R-HSA-5358747)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
FGFR1 mutant receptor activation (R-HSA-1839124)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Defective GALE can cause Epimerase-deficiency galactosemia (EDG) (R-HSA-5609977)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes (R-HSA-170145)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Defective GALK1 can cause Galactosemia II (GALCT2) (R-HSA-5609976)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Signaling by activated point mutants of FGFR1 (R-HSA-1839122)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Diseases associated with glycosylation precursor biosynthesis (R-HSA-5609975)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
Defective PGM1 causes PGM1-CDG (CDG1t) (R-HSA-5609974)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
HDL remodeling (R-HSA-8964058)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Interleukin-2 family signaling (R-HSA-451927)	44	0	.23	-	 < 0.01	1.00E00	1.00E00
Regulation of cholesterol biosynthesis by SREBP (SREBF) (R-HSA-1655829)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
eNOS activation (R-HSA-203615)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
Cytosolic tRNA aminoacylation (R-HSA-379716)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
InlA-mediated entry of Listeria monocytogenes into host cells (R-HSA-8876493)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Creatine metabolism (R-HSA-71288)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Signaling by cytosolic FGFR1 fusion mutants (R-HSA-1839117)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
Pre-NOTCH Transcription and Translation (R-HSA-1912408)	62	0	.32	-	 < 0.01	1.00E00	1.00E00
Defective MOGS causes MOGS-CDG (CDG-2b) (R-HSA-4793954)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GPVI-mediated activation cascade (R-HSA-114604)	35	0	.18	-	 < 0.01	1.00E00	1.00E00
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d) (R-HSA-4793953)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synthesis of wybutosine at G37 of tRNA(Phe) (R-HSA-6782861)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective MGAT2 causes MGAT2-CDG (CDG-2a) (R-HSA-4793952)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
VLDL clearance (R-HSA-8964046)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Defective MAN1B1 causes MRT15 (R-HSA-4793950)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Plasma lipoprotein clearance (R-HSA-8964043)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
LDL remodeling (R-HSA-8964041)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
RHO GTPases activate PKNs (R-HSA-5625740)	63	0	.33	-	 < 0.01	1.00E00	1.00E00
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation (R-HSA-8950505)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
Biological oxidations (R-HSA-211859)	220	0	1.15	-	 < 0.01	6.33E-01	1.00E00
E2F mediated regulation of DNA replication (R-HSA-113510)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
AMPK inhibits chREBP transcriptional activation activity (R-HSA-163680)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Late Phase of HIV Life Cycle (R-HSA-162599)	135	0	.71	-	 < 0.01	1.00E00	1.00E00
Acyl chain remodeling of CL (R-HSA-1482798)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Early Phase of HIV Life Cycle (R-HSA-162594)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
Integration of provirus (R-HSA-162592)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Glycogen storage disease type XV (GYG1) (R-HSA-3814836)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Heme biosynthesis (R-HSA-189451)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
LDL clearance (R-HSA-8964038)	19	0	.10	-	 < 0.01	1.00E00	1.00E00
Expression and Processing of Neurotrophins (R-HSA-9036866)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
Mitochondrial transcription termination (R-HSA-163316)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
E2F-enabled inhibition of pre-replication complex formation (R-HSA-113507)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Regulation of signaling by CBL (R-HSA-912631)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
