




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-10-08
Analyzed List:	GCST007847reported.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20996)	GCST007847reported.txt (110)	GCST007847reported.txt (expected)	GCST007847reported.txt (over/under)	GCST007847reported.txt (fold Enrichment)	GCST007847reported.txt (raw P-value)	GCST007847reported.txt (FDR)
Unclassified (UNCLASSIFIED)	2089	3	10.94	-	.27	6.25E-03	5.97E-01
mitochondrial membrane (GO:0031966)	712	1	3.73	-	.27	1.89E-01	1.00E00
mitochondrial envelope (GO:0005740)	754	1	3.95	-	.25	1.91E-01	1.00E00
microtubule organizing center (GO:0005815)	778	1	4.08	-	.25	1.95E-01	1.00E00
nuclear heterochromatin (GO:0005720)	37	0	.19	-	 < 0.01	1.00E00	1.00E00
apical junction complex (GO:0043296)	145	0	.76	-	 < 0.01	1.00E00	1.00E00
apoptosome (GO:0043293)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
RAVE complex (GO:0043291)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
deuterosome (GO:0098536)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
dense core granule lumen (GO:0098898)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spine apparatus membrane (GO:0098897)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial processing peptidase complex (GO:0017087)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome membrane (GO:0098896)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATPase dependent transmembrane transport complex (GO:0098533)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome membrane (GO:0098895)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CatSper complex (GO:0036128)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic active zone membrane (GO:0098891)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm flagellum (GO:0036126)	96	0	.50	-	 < 0.01	1.00E00	1.00E00
CHOP-C/EBP complex (GO:0036488)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
astrocyte projection (GO:0097449)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
spine apparatus (GO:0097444)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear euchromatin (GO:0005719)	30	0	.16	-	 < 0.01	1.00E00	1.00E00
CA3 pyramidal cell dendrite (GO:0097442)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	32	0	.17	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
hyaluranon cable (GO:0036117)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle membrane (GO:0012510)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
intracellular cyclic nucleotide activated cation channel complex (GO:0017071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) (GO:0000275)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial proton-transporting ATP synthase, stator stalk (GO:0000274)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	27	0	.14	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor complex (GO:0098878)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
ER to Golgi transport vesicle membrane (GO:0012507)	62	0	.32	-	 < 0.01	1.00E00	1.00E00
ASTRA complex (GO:0070209)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
epididymosome (GO:0098875)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic actin cytoskeleton (GO:0098871)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
late endosome lumen (GO:0031906)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
early endosome lumen (GO:0031905)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule bundle (GO:0097427)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
microbody membrane (GO:0031903)	63	0	.33	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	222	0	1.16	-	 < 0.01	6.34E-01	1.00E00
ribonuclease III complex (GO:1903095)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
late endosome membrane (GO:0031902)	138	0	.72	-	 < 0.01	1.00E00	1.00E00
SUMO ligase complex (GO:0106068)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
early endosome membrane (GO:0031901)	153	0	.80	-	 < 0.01	1.00E00	1.00E00
mitochondrial chromosome (GO:0000262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macropinosome (GO:0044354)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
pinosome (GO:0044352)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
microtubule plus-end (GO:0035371)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
ectoplasm (GO:0043265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UBC13-UEV1A complex (GO:0035370)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
serine C-palmitoyltransferase complex (GO:0017059)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
laminin-11 complex (GO:0043260)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative cofactor 2 complex (GO:0017054)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcriptional repressor complex (GO:0017053)	86	0	.45	-	 < 0.01	1.00E00	1.00E00
PCNA-p21 complex (GO:0070557)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cluster of actin-based cell projections (GO:0098862)	160	0	.84	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex (GO:0070554)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
keratohyalin granule (GO:0036457)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
neurofibrillary tangle (GO:0097418)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic viral factory (GO:0039714)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BRISC complex (GO:0070552)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
viral factory (GO:0039713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
guanylate cyclase complex, soluble (GO:0008074)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
growth factor complex (GO:0036454)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
classical Lewy body (GO:0097414)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ESCRT complex (GO:0036452)	26	0	.14	-	 < 0.01	1.00E00	1.00E00
Lewy body (GO:0097413)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Lsd1/2 complex (GO:0033193)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ASAP complex (GO:0061574)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
subapical complex (GO:0035003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-10 complex (GO:0043259)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
histone locus body (GO:0035363)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
laminin-8 complex (GO:0043257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oligosaccharyltransferase III complex (GO:0035000)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin complex (GO:0043256)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
actin-based cell projection (GO:0098858)	213	0	1.12	-	 < 0.01	6.32E-01	1.00E00
HCN channel complex (GO:0098855)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Atg12-Atg5-Atg16 complex (GO:0034274)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
uniplex complex (GO:1990246)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type II (GO:0034272)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III, type I (GO:0034271)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
microtubule minus-end (GO:0036449)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
PeBoW complex (GO:0070545)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
glial cytoplasmic inclusion (GO:0097409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic vesicle membrane (GO:0098850)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
CAF-1 complex (GO:0033186)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
commitment complex (GO:0000243)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
dolichol-phosphate-mannose synthase complex (GO:0033185)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
pericentriolar material (GO:0000242)	21	0	.11	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted gamma-aminobutyric acid transport vesicle (GO:0061200)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
plasma membrane proton-transporting V-type ATPase complex (GO:0033181)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 2-Toll-like receptor 6 protein complex (GO:0035355)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Toll-like receptor 1-Toll-like receptor 2 protein complex (GO:0035354)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cortical granule (GO:0060473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ragulator complex (GO:0071986)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic endosome (GO:0098845)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone membrane (GO:0098844)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic endocytic zone (GO:0098843)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
AIP1-IRE1 complex (GO:1990597)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic early endosome (GO:0098842)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase, V0 domain (GO:0033179)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
astral microtubule (GO:0000235)	11	0	.06	-	 < 0.01	1.00E00	1.00E00
BRCA1-A complex (GO:0070531)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase complex (GO:0033176)	28	0	.15	-	 < 0.01	1.00E00	1.00E00
dendritic spine head (GO:0044327)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
dendritic spine neck (GO:0044326)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum quality control compartment (GO:0044322)	23	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear replication fork (GO:0043596)	43	0	.23	-	 < 0.01	1.00E00	1.00E00
postsynaptic recycling endosome (GO:0098837)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
female germ cell nucleus (GO:0001674)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
male germ cell nucleus (GO:0001673)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
presynaptic endocytic zone (GO:0098833)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone cytoplasmic component (GO:0098831)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
cytoplasmic chromosome (GO:0000229)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic endosome (GO:0098830)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac Troponin complex (GO:1990584)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
L-cysteine desulfurase complex (GO:1990221)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ERCC4-ERCC1 complex (GO:0070522)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
ARC complex (GO:0033167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular ferritin complex (GO:0008043)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
rod spherule (GO:0044317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interphotoreceptor matrix (GO:0033165)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
cone cell pedicle (GO:0044316)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase, V0 domain (GO:0000220)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
melanosome membrane (GO:0033162)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
SPOTS complex (GO:0035339)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
NOS2-CD74 complex (GO:0035693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear SCF ubiquitin ligase complex (GO:0043224)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor receptor complex (GO:0035692)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Schmidt-Lanterman incisure (GO:0043220)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA-directed RNA polymerase complex (GO:0034245)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum membrane (GO:1990578)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
CAK-ERCC2 complex (GO:0070516)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microprocessor complex (GO:0070877)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SOSS complex (GO:0070876)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
TERT-RMRP complex (GO:1990572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron spine (GO:0044309)	170	0	.89	-	 < 0.01	1.00E00	1.00E00
axonal spine (GO:0044308)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA-intron endonuclease complex (GO:0000214)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
dendritic branch (GO:0044307)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
calyx of Held (GO:0044305)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
MLL3/4 complex (GO:0044666)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
9+2 non-motile cilium (GO:0097732)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
MLL1/2 complex (GO:0044665)	31	0	.16	-	 < 0.01	1.00E00	1.00E00
dentate gyrus mossy fiber (GO:0044302)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoskeletal calyx (GO:0033150)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
climbing fiber (GO:0044301)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic 43S preinitiation complex (GO:0016282)	17	0	.09	-	 < 0.01	1.00E00	1.00E00
cerebellar mossy fiber (GO:0044300)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 4F complex (GO:0016281)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
transcriptionally active chromatin (GO:0035327)	24	0	.13	-	 < 0.01	1.00E00	1.00E00
lateral loop (GO:0043219)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
compact myelin (GO:0043218)	15	0	.08	-	 < 0.01	1.00E00	1.00E00
sperm fibrous sheath (GO:0035686)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
elastic fiber (GO:0071953)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
granular component (GO:0001652)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
dense fibrillar component (GO:0001651)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase complex (GO:1990204)	121	0	.63	-	 < 0.01	1.00E00	1.00E00
HSP90-CDC37 chaperone complex (GO:1990565)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen (GO:0034592)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
9+2 motile cilium (GO:0097729)	101	0	.53	-	 < 0.01	1.00E00	1.00E00
9+0 motile cilium (GO:0097728)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription elongation factor complex (GO:0008023)	55	0	.29	-	 < 0.01	1.00E00	1.00E00
IkappaB kinase complex (GO:0008385)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core factor complex (GO:0070860)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amyloid-beta complex (GO:0106003)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
prefoldin complex (GO:0016272)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
bleb (GO:0032059)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
myelin sheath (GO:0043209)	51	0	.27	-	 < 0.01	1.00E00	1.00E00
methylcrotonoyl-CoA carboxylase complex (GO:1905202)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
translation release factor complex (GO:0018444)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
axon hillock (GO:0043203)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
lysosomal lumen (GO:0043202)	100	0	.52	-	 < 0.01	1.00E00	1.00E00
Ku70:Ku80 complex (GO:0043564)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
XPC complex (GO:0071942)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex (GO:0098803)	87	0	.46	-	 < 0.01	1.00E00	1.00E00
cell body fiber (GO:0070852)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
melanosome (GO:0042470)	106	0	.56	-	 < 0.01	1.00E00	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	13	0	.07	-	 < 0.01	1.00E00	1.00E00
DSIF complex (GO:0032044)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
small-subunit processome (GO:0032040)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell receptor complex (GO:0042105)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
core mediator complex (GO:0070847)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
T cell receptor complex (GO:0042101)	139	0	.73	-	 < 0.01	1.00E00	1.00E00
integrator complex (GO:0032039)	29	0	.15	-	 < 0.01	1.00E00	1.00E00
Mon1-Ccz1 complex (GO:0035658)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
eRF1 methyltransferase complex (GO:0035657)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class Ib protein complex (GO:0032398)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor connecting cilium (GO:0032391)	42	0	.22	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine transferase complex (GO:0043541)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex (GO:0043540)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cleavage body (GO:0071920)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
outer membrane (GO:0019867)	209	0	1.09	-	 < 0.01	6.31E-01	1.00E00
katanin complex (GO:0008352)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leading edge of lamellipodium (GO:0061851)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
growth cone leading edge (GO:0061850)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MutLalpha complex (GO:0032389)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
NELF complex (GO:0032021)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
prominosome (GO:0071914)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
replication fork protection complex (GO:0031298)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
paraferritin complex (GO:0070826)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network membrane (GO:0033106)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
tertiary granule membrane (GO:0070821)	73	0	.38	-	 < 0.01	1.00E00	1.00E00
tertiary granule (GO:0070820)	164	0	.86	-	 < 0.01	1.00E00	1.00E00
dendritic spine cytoplasm (GO:0061846)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron projection branch point (GO:0061845)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aggresome (GO:0016235)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
nuclear pore nuclear basket (GO:0044615)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
inclusion body (GO:0016234)	81	0	.42	-	 < 0.01	1.00E00	1.00E00
nuclear pore cytoplasmic filaments (GO:0044614)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
NuA3 histone acetyltransferase complex (GO:0033100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore central transport channel (GO:0044613)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
Cdc73/Paf1 complex (GO:0016593)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear pore inner ring (GO:0044611)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mediator complex (GO:0016592)	38	0	.20	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	93	0	.49	-	 < 0.01	1.00E00	1.00E00
ACF complex (GO:0016590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GET complex (GO:0043529)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase complex (GO:0043527)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
CD40 receptor complex (GO:0035631)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
phagolysosome (GO:0032010)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
CST complex (GO:1990879)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of nuclear pore (GO:1990876)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Cry-Per complex (GO:1990512)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
omegasome membrane (GO:1903349)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
DBIRD complex (GO:0044609)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NURF complex (GO:0016589)	7	0	.04	-	 < 0.01	1.00E00	1.00E00
RSC-type complex (GO:0016586)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
basal ectoplasmic specialization (GO:0061832)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase complex (GO:0016222)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
apical ectoplasmic specialization (GO:0061831)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
early phagosome (GO:0032009)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
concave side of sperm head (GO:0061830)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NuRD complex (GO:0016581)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
interleukin-28 receptor complex (GO:0032002)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-12 complex (GO:0043514)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibin B complex (GO:0043513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibin A complex (GO:0043512)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibin complex (GO:0043511)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
polysomal ribosome (GO:0042788)	33	0	.17	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor complex (GO:0008328)	53	0	.28	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
basal tubulobulbar complex (GO:0061829)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
apical tubulobulbar complex (GO:0061828)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head (GO:0061827)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
podosome core (GO:0061825)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activin A complex (GO:0043509)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor AP-1 complex (GO:0035976)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
male pronucleus (GO:0001940)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Ndc80 complex (GO:0031262)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex (GO:0031261)	5	0	.03	-	 < 0.01	1.00E00	1.00E00
pseudopodium membrane (GO:0031260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
filopodium (GO:0030175)	105	0	.55	-	 < 0.01	1.00E00	1.00E00
integral component of Golgi membrane (GO:0030173)	66	0	.35	-	 < 0.01	1.00E00	1.00E00
female pronucleus (GO:0001939)	9	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA cap binding complex (GO:0034518)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
uropod membrane (GO:0031259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lamellipodium membrane (GO:0031258)	22	0	.12	-	 < 0.01	1.00E00	1.00E00
